DisNo.,Depth,
1992-0067-CUB,,
1992-0079-NIC,,
1992-0081-KGZ,,
1992-0082-KGZ,,
1992-0093-BEL,,
1992-0093-DEU,,
1992-0093-NLD,,
1992-0120-USA,,
1992-0149-EGY,,
1992-0151-COL,,
1992-0163-IDN,,
1992-0180-IRN,,
1992-0202-AFG,,
1992-0202-PAK,,
1992-0215-USA,,
1992-0236-UZB,,
1992-0247-IDN,,
1992-0252-JPN,,
1992-0256-CHN,,
1992-0481-GEO,,
1992-0554-USA,,
1993-0035-IRN,,
1993-0044-JPN,,
1993-0049-GUM,,
1993-0056-SDN,,
1993-0074-IND,,
1993-0076-PNG,,
1993-0086-MEX,,
1993-0097-JPN,,
1993-0108-CHN,,
1993-0134-WLF,,
1993-0136-GRC,,
1993-0144-PER,,
1993-0184-CRI,,
1993-0480-USA,,
1993-0490-COL,,
1993-0578-IRN,,
1993-0579-GRC,,
1993-0580-NPL,,
1993-0581-IND,,
1993-0582-CHN,,
1994-0002-USA,,
1994-0006-IDN,,
1994-0007-IDN,,
1994-0040-IRN,,
1994-0041-IRN,,
1994-0051-UGA,,
1994-0057-AFG,,
1994-0058-BOL,,
1994-0059-COL,,
1994-0062-IDN,,
1994-0070-IRN,,
1994-0076-VUT,,
1994-0196-DZA,,
1994-0307-CHN,,
1994-0316-JPN,,
1994-0342-RUS,,
1994-0343-JPN,,
1994-0513-IDN,,
1994-0518-PHL,,
1994-0599-USA,,
1994-0600-CHN,,
1994-0642-AUS,,
1994-0652-IDN,,
1994-0767-CHN,,
1994-0768-PHL,,
1995-0015-COL,,
1995-0016-JPN,,
1995-0030-COL,,
1995-0034-CYP,,
1995-0047-ECU,,
1995-0054-COL,,
1995-0055-PHL,,
1995-0084-IDN,,
1995-0085-GRC,,
1995-0089-IDN,,
1995-0097-RUS,,
1995-0148-CHN,,
1995-0148-MMR,,
1995-0148-THA,,
1995-0171-CHL,,
1995-0203-MEX,,
1995-0226-ECU,,
1995-0233-TUR,,
1995-0252-IDN,,
1995-0253-MEX,,
1995-0261-CHN,,
1995-0293-EGY,,
1995-0437-GRC,,
1995-0449-JPN,,
1995-0454-MEX,,
1995-0457-CHN,,
1996-0002-IDN,,
1996-0020-AFG,,
1996-0021-CHN,,
1996-0042-PER,,
1996-0061-IDN,,
1996-0062-ECU,,
1996-0081-CHN,,
1996-0136-CHN,,
1996-0179-GRC,,
1996-0205-CHN,,
1996-0212-HRV,,
1996-0261-PER,,
1996-0461-TUR,,
1997-0011-CHN,,
1997-0017-IRN,,
1997-0028-KGZ,,
1997-0030-PAK,,
1997-0035-IRN,,
1997-0045-TTO,,
1997-0071-MEX,,
1997-0095-AFG,,
1997-0095-IRN,,
1997-0115-IND,,
1997-0116-MEX,,
1997-0147-VEN,,
1997-0228-ITA,,
1997-0240-IDN,,
1997-0247-CHL,,
1997-0281-BGD,,
1997-0326-CHN,,
1997-0368-ARM,,
1997-0531-CHN,,
1997-0532-CHN,,
1997-0533-IRN,,
1997-0534-ZAF,,
1998-0026-AFG,,
1998-0043-IRN,,
1998-0076-CHN,,
1998-0078-ITA,,
1998-0084-IRN,,
1998-0110-AUT,,
1998-0110-SVN,,
1998-0152-AFG,,
1998-0169-BOL,,
1998-0201-TUR,,
1998-0206-AZO,,
1998-0207-TUR,,
1998-0215-AZE,,
1998-0220-PNG,,
1998-0353-ECU,,
1998-0384-CHN,,
1998-0385-IRN,,
1998-0403-IDN,,
1998-0454-CHN,,
1998-0579-AFG,,
1998-0579-PAK,,
1998-0580-CHN,,
1998-0581-CHN,,
1998-0582-CHN,,
1998-0583-IDN,,
1998-0584-ALB,,
1998-0585-IRN,,
1998-0586-NIC,,
1998-0587-CHN,,
1998-0588-TUR,,
1999-0016-COL,,
1999-0047-RUS,,
1999-0054-AFG,,
1999-0065-IRN,,
1999-0099-IND,,
1999-0150-IRN,,
1999-0196-AZE,,
1999-0208-MEX,,
1999-0228-BGD,,
1999-0268-TUR,,
1999-0302-GRC,,
1999-0314-TUR,,
1999-0321-TWN,,
1999-0360-MEX,,
1999-0376-TUR,,
1999-0383-CHN,,
1999-0384-PER,,
1999-0385-MEX,,
1999-0386-TUR,,
1999-0405-TWN,,
1999-0434-PER,,
1999-0445-TUR,,
1999-0449-TUR,,
1999-0455-CHN,,
1999-0524-VUT,,
1999-0553-CHN,,
1999-0561-DZA,,
1999-0568-IDN,,
1999-0587-IRN,,
1999-0601-RUS,,
1999-0638-ESP,,
1999-0639-GTM,,
1999-0644-PHL,,
2003-0623-USA,,
2004-0659-BGD,,
2004-0659-IDN,,
2004-0659-IND,,
2004-0659-KEN,,
2004-0659-LKA,,
2004-0659-MDV,,
2004-0659-MMR,,
2004-0659-MYS,,
2004-0659-SOM,,
2004-0659-SYC,,
2004-0659-THA,,
2004-0659-TZA,,
2005-0160-IDN,,
2011-0082-IDN,,
2011-0082-JPN,,
2012-0097-IDN,,
2016-0002-BGD,,
2016-0002-IND,,
2016-0019-IDN,,
2016-0100-PAK,,
2016-0151-ECU,,
2016-0251-TJK,,
2016-0298-PER,,
2016-0335-MKD,,
2016-0341-KOR,,
2016-0357-ITA,,
2016-0358-ITA,,
2016-0383-MMR,,
2016-0458-IDN,,
2016-0464-PER,,
2016-0480-CHN,,
2016-0492-JPN,,
2016-0493-USA,,
2016-0526-CHN,,
2016-0536-CHN,,
2016-0537-PHL,,
2017-0015-ITA,,
2017-0113-CHN,,
2017-0124-CHN,,
2017-0140-PHL,,
2017-0182-GRC,,
2017-0204-IRN,,
2017-0247-PHL,,
2017-0280-GRC,,
2017-0280-TUR,,
2017-0331-CHN,,
2017-0349-ITA,,
2017-0382-GTM,,
2017-0382-MEX,,
2017-0387-MEX,,
2017-0443-KOR,,
2017-0446-IRN,,
2017-0446-IRQ,,
2017-0513-CHN,,
2017-0521-IRN,,
2017-0530-IDN,,
2018-0011-PER,,
2018-0031-IDN,,
2018-0059-TWN,,
2018-0183-JPN,,
2018-0215-CHN,,
2018-0257-IDN,,
2018-0281-IRN,,
2018-0302-IDN,,
2018-0310-IRN,,
2018-0315-MEX,,
2018-0316-PNG,,
2018-0317-PNG,,
2018-0321-SLV,,
2018-0323-CHN,,
2018-0330-JPN,,
2018-0360-HTI,,
2019-0023-CHL,,
2019-0085-IDN,,
2019-0096-CHN,,
2019-0109-IDN,,
2019-0232-ALB,,
2019-0233-SLV,,
2019-0243-ECU,,
2019-0243-PER,,
2019-0259-CHN,,
2019-0271-PNG,,
2019-0299-IRN,,
2019-0306-USA,,
2019-0322-JPN,,
2019-0334-IDN,,
2019-0356-PHL,,
2019-0377-IDN,,
2019-0444-ALB,,
2019-0451-IDN,,
2019-0475-ECU,,
2019-0479-TUR,,
2019-0489-PHL,,
2019-0520-CHN,,
2019-0551-FRA,,
2019-0553-IRN,,
2019-0619-PHL,,
2020-0007-PRI,,
2020-0034-TUR,,
2020-0073-IRN,,
2020-0073-TUR,,
2020-0158-PRI,,
2020-0225-IDN,,
2020-0244-CHN,,
2020-0251-TUR,,
2020-0279-TUR,,
2020-0281-MEX,,
2020-0370-PHL,,
2020-0466-GRC,,
2020-0466-TUR,,
2021-0002-ARG,,
2021-0105-JPN,,
2021-0134-GRC,,
2021-0194-JPN,,
2021-0200-IDN,,
2021-0201-CHN,,
2021-0215-IRN,,
2021-0225-BTN,,
2021-0225-IND,,
2021-0293-CHN,,
2021-0323-IDN,,
2021-0329-CHN,,
2021-0403-TJK,,
2021-0462-PER,,
2021-0587-CHN,,
2021-0602-MEX,,
2021-0627-GRC,,
2021-0720-IDN,,
2021-0801-IDN,,
2021-0829-CHN,,
2021-0829-LAO,,
2022-0004-CHN,,
2022-0012-IDN,,
2022-0042-IDN,,
2022-0045-CHN,,
2022-0057-HTI,,
2022-0079-PER,,
2022-0092-GTM,,
2022-0115-IDN,,
2022-0153-JPN,,
2022-0231-BIH,,
