DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development
1998-0581-CHN,Ground movement,,CHN,5.6,1998/5/28,,28,10000,15000,25028,0
1998-0582-CHN,Ground movement,,CHN,6.4,1998/8/27,3,7,18000,93855,111862,0
1998-0583-IDN,Ground movement,,IDN,6.4,1998/9/28,1,,190,310,500,0
1998-0584-ALB,Ground movement,,ALB,5,1998/10/1,,,,2100,2100,0
1998-0585-IRN,Ground movement,,IRN,5.4,1998/10/5,,,,500,500,0
1998-0586-NIC,Ground movement,,NIC,4.4,1998/3/25,,3,10,225,238,0
1998-0587-CHN,Ground movement,,CHN,4.7,1998/10/26,,28,,3500,3528,0
1998-0588-TUR,Ground movement,,TUR,4.5,1998/12/14,2,,100,590,690,0
1999-0016-COL,Ground movement,,COL,6.2,1999/1/25,1186,8563,452370,745000,1205933,0
1999-0047-RUS,Ground movement,,RUS,3.2,1999/2/2,,,240,6000,6240,0
1999-0054-AFG,Ground movement,,AFG,6,1999/2/11,70,500,31275,60185,91960,0
1999-0065-IRN,Ground movement,,IRN,6.6,1999/3/4,1,,70,2620,2690,0
1999-0099-IND,Ground movement,,IND,6.6,1999/3/28,100,394,105500,372000,477894,0
1999-0150-IRN,Ground movement,,IRN,7,1999/5/6,20,100,4000,,4100,0
1999-0196-AZE,Ground movement,,AZE,5.4,1999/6/4,1,18,8400,750,9168,0
1999-0208-MEX,Ground movement,,MEX,6.5,1999/6/15,15,200,,16000,16200,0
1999-0228-BGD,Ground movement,,BGD,5.2,1999/7/22,6,200,15000,,15200,0
1999-0268-TUR,Ground movement,,TUR,7.6,1999/8/17,17127,43953,600000,715000,1358953,0
1999-0302-GRC,Ground movement,,GRC,5.8,1999/9/7,143,2000,108,113031,115139,0
1999-0314-TUR,Ground movement,,TUR,5.8,1999/9/13,6,422,,,422,0
1999-0321-TWN,Ground movement,,TWN,7.7,1999/9/21,2264,8664,100000,,108664,
1999-0360-MEX,Ground movement,,MEX,7.5,1999/9/30,31,215,,115000,115215,0
1999-0376-TUR,Ground movement,,TUR,5.2,1999/10/5,,103,,,103,0
1999-0383-CHN,Ground movement,,CHN,5.1,1999/3/11,,3,1000,15000,16003,0
1999-0384-PER,Ground movement,,PER,6.8,1999/4/3,1,50,,1500,1550,0
1999-0385-MEX,Ground movement,,MEX,6.3,1999/6/21,,,,6500,6500,0
1999-0386-TUR,Ground movement,,TUR,5.2,1999/8/31,1,166,,,166,0
1999-0405-TWN,Ground movement,,TWN,5.9,1999/10/22,1,254,,,254,
1999-0434-PER,Ground movement,,PER,4.4,1999/10/31,,30,1050,5500,6580,0
1999-0445-TUR,Ground movement,,TUR,7.2,1999/11/11,3,200,,,200,0
1999-0449-TUR,Ground movement,,TUR,7.2,1999/11/12,845,4948,55000,165000,224948,0
1999-0455-CHN,Ground movement,,CHN,5.6,1999/11/1,,4,20000,3000000,3020004,0
1999-0524-VUT,Ground movement,,VUT,7.5,1999/11/27,12,100,2000,12000,14100,0
1999-0553-CHN,Ground movement,,CHN,5,1999/11/29,,,,800,800,0
1999-0561-DZA,Ground movement,,DZA,5.6,1999/12/22,22,175,15000,,15175,0
1999-0568-IDN,Ground movement,,IDN,6.5,1999/12/21,5,220,2700,14000,16920,0
1999-0587-IRN,Ground movement,,IRN,5.3,1999/11/26,,,,250,250,0
1999-0601-RUS,Ground movement,,RUS,6.5,1999/2/21,1,20,5000,,5020,0
1999-0638-ESP,Ground movement,,ESP,6.2,1999/2/2,,20,,,20,0
1999-0639-GTM,Ground movement,,GTM,6.7,1999/7/11,2,40,35,205,280,0
1999-0644-PHL,Ground movement,,PHL,7.3,1999/12/12,6,40,,150,190,0
2000-0023-BGD,Ground movement,USGS:usp0009khm,BGD,4.3,2000/1/2,,,,1000,1000,0
2000-0033-CHN,Ground movement,USGS:usp0009m4u,CHN,5.9,2000/1/14,7,2528,92479,1760000,1855007,0
2000-0036-CHN,Ground movement,USGS:usp0009mq6,CHN,4.9,2000/1/26,1,2,,10300,10302,0
2000-0041-CHN,Ground movement,USGS:usp0009m1j,CHN,5.1,2000/1/11,,30,18000,44000,62030,0
2000-0051-IRN,Ground movement,USGS:usp0009mz6,IRN,5.3,2000/2/2,1,15,500,1500,2015,0
2000-0065-IRN,Ground movement,USGS:usp0009ne8,IRN,4.9,2000/2/14,,,,1000,1000,0
2000-0076-ISL,Ground movement,USGS:usp0009ux8,ISL,6.5,2000/6/21,,,36,72,108,1
