DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development
2019-0572-ALB,Ground movement,GLIDE:EQ-2019-000157,ALB,6.4,2019/11/26,51,913,,202000,202913,0
2019-0619-PHL,Ground movement,,PHL,6.8,2019/12/15,14,210,,394355,394565,0
2020-0007-PRI,Ground movement,,PRI,6.4,2020/1/7,4,8,900,4170,5078,
2020-0034-TUR,Ground movement,,TUR,6.7,2020/1/24,41,1607,,69000,70607,0
2020-0073-IRN,Ground movement,,IRN,5.8,2020/2/23,,75,,15000,15075,0
2020-0073-TUR,Ground movement,,TUR,5.8,2020/2/23,9,50,3000,,3050,0
2020-0106-HRV,Ground movement,GLIDE:EQ-2020-000040,HRV,5.4,2020/3/22,1,27,18915,60000,78942,0
2020-0158-PRI,Ground movement,,PRI,5.4,2020/5/2,,,,150,150,
2020-0225-IDN,Ground movement,,IDN,6.4,2020/6/4,,,70,1490,1560,0
2020-0244-CHN,Ground movement,,CHN,5.1,2020/5/18,4,24,,3300,3324,0
2020-0251-TUR,Ground movement,,TUR,5.9,2020/6/14,1,35,,6600,6635,0
2020-0279-TUR,Ground movement,,TUR,5.4,2020/6/25,,5,,273,278,0
2020-0281-MEX,Ground movement,,MEX,7.4,2020/6/23,10,24,,24369,24393,0
2020-0370-PHL,Ground movement,,PHL,6.6,2020/8/18,1,20,705,4255,4980,0
2020-0466-GRC,Ground movement,,GRC,7,2020/10/30,2,19,,900,919,0
2020-0466-TUR,Ground movement,,TUR,7,2020/10/30,115,1034,5000,,6034,0
2020-0572-HRV,Ground movement,GLIDE:EQ-2020-000241,HRV,6.4,2020/12/29,8,36,,149371,149407,0
2020-0579-DZA,Ground movement,GLIDE:EQ-2020-000188,DZA,4.9,2020/8/7,,,,15000,15000,0
2021-0002-ARG,Ground movement,,ARG,6.4,2021/1/18,,14,,1800,1814,0
2021-0003-IDN,Ground movement,GLIDE:EQ-2021-000003,IDN,6.2,2021/1/15,110,826,,99827,100653,0
2021-0095-IRN,Ground movement,GLIDE:EQ-2021-000018,IRN,5.6,2021/2/17,2,63,,257661,257724,0
2021-0105-JPN,Ground movement,,JPN,7.1,2021/2/13,1,185,60,7647,7892,1
2021-0134-GRC,Ground movement,,GRC,5.8,2021/3/3,,11,2700,,2711,0
2021-0194-JPN,Ground movement,,JPN,7,2021/3/20,,11,,600,611,1
2021-0200-IDN,Ground movement,,IDN,6,2021/4/11,9,39,420,5520,5979,0
2021-0201-CHN,Ground movement,,CHN,5.4,2021/3/24,3,,,195,195,0
2021-0215-IRN,Ground movement,,IRN,5.9,2021/4/18,,6,,3537,3543,0
2021-0225-BTN,Ground movement,,BTN,6,2021/4/28,,2,,500,502,0
2021-0225-IND,Ground movement,,IND,6.4,2021/4/28,2,10,,3000,3010,0
2021-0293-CHN,Ground movement,,CHN,6.1,2021/5/21,3,28,,39000,39028,0
2021-0323-IDN,Ground movement,,IDN,5.9,2021/6/16,,,,750,750,0
2021-0329-CHN,Ground movement,,CHN,5.1,2021/6/10,,2,,8010,8012,0
2021-0403-TJK,Ground movement,,TJK,5.9,2021/7/10,5,,,100,100,0
2021-0462-PER,Ground movement,,PER,6.2,2021/7/30,,721,,700,1421,0
2021-0511-HTI,Ground movement,GLIDE:EQ-2021-000116,HTI,7.2,2021/8/14,2575,12763,,690000,702763,0
2021-0587-CHN,Ground movement,,CHN,5.4,2021/9/16,3,88,2437,21870,24395,0
2021-0602-MEX,Ground movement,,MEX,7,2021/9/8,3,,,21951,21951,0
2021-0627-GRC,Ground movement,,GRC,6,2021/9/27,1,20,2316,,2336,0
2021-0654-PAK,Ground movement,GLIDE:EQ-2021-000156,PAK,5.9,2021/10/7,21,300,,63800,64100,0
2021-0720-IDN,Ground movement,,IDN,5.1,2021/10/16,3,82,1830,2620,4532,0
2021-0738-IRN,Ground movement,GLIDE:EQ-2021-000177,IRN,6.3,2021/11/14,1,104,,36484,36588,0
2021-0758-ECU,Ground movement,GLIDE:EQ-2021-000192,ECU,7.2,2021/11/28,,,,39,39,0
2021-0758-PER,Ground movement,GLIDE:EQ-2021-000192,PER,7.2,2021/11/28,,3,,17909,17912,0
2021-0801-IDN,Ground movement,,IDN,7.3,2021/12/14,,7,,1730,1737,0
2021-0829-CHN,Ground movement,,CHN,5.7,2021/12/24,,10,,19200,19210,0
2021-0829-LAO,Ground movement,,LAO,5.7,2021/12/24,,,,,,0
2022-0004-CHN,Ground movement,,CHN,5.4,2022/1/2,,30,,29000,29030,0
2022-0012-IDN,Ground movement,,IDN,5.6,2022/1/10,,2,,300,302,0
2022-0027-AFG,Ground movement,GLIDE:EQ-2022-000008,AFG,5.3,2022/1/17,28,4,4000,,4004,0
2022-0042-IDN,Ground movement,,IDN,6.6,2022/1/14,,1975,,13415,15390,0
2022-0045-CHN,Ground movement,,CHN,6.6,2022/1/8,,9,,26490,26499,0
2022-0057-HTI,Ground movement,,HTI,5.3,2022/1/24,2,52,950,15,1017,0
2022-0079-PER,Ground movement,,PER,6.5,2022/2/3,,,,300,300,0
2022-0092-GTM,Ground movement,,GTM,6.2,2022/2/16,3,2,,31300,31302,0
2022-0115-IDN,Ground movement,,IDN,6.1,2022/2/25,15,388,515,24000,24903,0
2022-0153-JPN,Ground movement,,JPN,7.3,2022/3/16,3,183,,558,741,1
2022-0177-ECU,Ground movement,GLIDE:EQ-2022-000194,ECU,5.8,2022/3/26,1,2,,7802,7804,0
2022-0231-BIH,Ground movement,,BIH,5.6,2022/4/23,1,2,,1050,1052,0
2022-0334-CHN,Ground movement,,CHN,5.8,2022/6/1,4,41,,13500,13541,0
2022-0342-AFG,Ground movement,,AFG,5.9,2022/6/21,1036,2989,,361634,364623,0
2022-0342-PAK,Ground movement,,PAK,5.9,2022/6/21,43,,,,,0
2022-0402-IRN,Ground movement,GLIDE:EQ-2022-000256,IRN,6.1,2022/7/2,5,84,,22216,22300,0
2022-0411-CHN,Ground movement,,CHN,5.9,2022/6/10,,4,,780,784,0
2022-0430-PER,Ground movement,,PER,5.5,2022/7/12,,2,,300,302,0
2022-0448-PHL,Ground movement,,PHL,7,2022/7/27,10,394,,502462,502856,0
2022-0567-CHN,Ground movement,,CHN,6.6,2022/9/5,118,400,,130000,130400,0
2022-0592-PNG,Ground movement,,PNG,7.6,2022/9/13,7,24,1945,,1969,0
2022-0595-IDN,Ground movement,,IDN,6,2022/9/11,,3,,6000,6003,0
2022-0611-TWN,Ground movement,,TWN,6.5,2022/9/18,1,140,,,140,
2022-0622-MEX,Ground movement,,MEX,6.8,2022/9/22,3,5,,18000,18005,0
2022-0623-MEX,Ground movement,,MEX,7.6,2022/9/19,2,9,2424,15453,17886,0
2022-0634-IRN,Ground movement,GLIDE:EQ-2022-000326,IRN,5.6,2022/10/5,,1127,150,11288,12565,0
2022-0703-PHL,Ground movement,,PHL,6.4,2022/10/25,,44,,147378,147422,0
2022-0731-NPL,Ground movement,GLIDE:EQ-2022-000358,NPL,5.7,2022/11/9,6,8,,30000,30008,0
2022-0755-IDN,Ground movement,,IDN,5.6,2022/11/21,334,4645,,2200000,2204645,0
2022-0765-TUR,Ground movement,,TUR,6.1,2022/11/23,2,93,,213,306,0
2022-0808-USA,Ground movement,,USA,6.4,2022/12/20,2,12,,,12,1
2023-0006-IDN,Ground movement,,IDN,7.6,2023/1/10,1,11,60,4350,4421,0
2023-0012-IRN,Ground movement,GLIDE:EQ-2023-000007,IRN,5.7,2023/1/18,,252,,41426,41678,0
2023-0047-IRN,Ground movement,,IRN,5.9,2023/1/28,3,1017,,261387,262404,0
2023-0054-SYR,Ground movement,GLIDE:EQ-2023-000015,SYR,7.8,2023/2/6,5900,8700,,8800000,8808700,0
2023-0054-TUR,Ground movement,GLIDE:EQ-2023-000015,TUR,7.8,2023/2/6,53000,107000,,16000000,16107000,0
2023-0073-IDN,Ground movement,,IDN,5.1,2023/2/9,4,,,2136,2136,0
2023-0091-SYR,Ground movement,,SYR,6.3,2023/2/20,,470,,,470,0
2023-0091-TUR,Ground movement,,TUR,6.3,2023/2/20,6,294,,,294,0
2023-0107-SYR,Ground movement,,SYR,5.2,2023/2/27,,150,,,150,0
2023-0107-TUR,Ground movement,,TUR,5.2,2023/2/27,1,110,90,,200,0
2023-0155-ECU,Ground movement,GLIDE:EQ-2023-000038,ECU,6.8,2023/3/18,14,494,,126922,127416,0
2023-0155-PER,Ground movement,GLIDE:EQ-2023-000038,PER,6.8,2023/3/18,1,1,,140,141,0
2023-0156-AFG,Ground movement,,AFG,6.5,2023/3/21,5,80,,3265,3345,0
2023-0156-PAK,Ground movement,,PAK,6.5,2023/3/21,11,79,,860,939,0
2023-0169-IRN,Ground movement,,IRN,5.6,2023/3/24,,239,,,239,0
2023-0189-PNG,Ground movement,,PNG,7,2023/4/2,8,11,2628,13635,16274,0
2023-0237-TJK,Ground movement,GLIDE:EQ-2023-000043,TJK,4.8,2023/3/23,,3,,2202,2205,0
2023-0268-CHN,Ground movement,,CHN,5.3,2023/5/2,,10,,8400,8410,0
2023-0279-JPN,Ground movement,,JPN,6.2,2023/5/6,1,43,54,2157,2254,1
2023-0323-FRA,Ground movement,,FRA,4.8,2023/6/16,,2,,750,752,1
2023-0378-IDN,Ground movement,,IDN,5.8,2023/6/30,1,10,,1110,1120,0
2023-0522-CHN,Ground movement,,CHN,5.4,2023/8/5,,21,378,,399,0
2023-0600-MAR,Ground movement,GLIDE:EQ-2023-000166,MAR,6.8,2023/9/8,2946,5674,,840000,845674,0
2023-0636-AFG,Ground movement,GLIDE:EQ-2023-000184,AFG,5.4,2023/10/7,2445,9240,,560000,569240,0
2023-0653-NPL,Ground movement,GLIDE:EQ-2023-000182,NPL,5.7,2023/10/3,1,23,,36250,36273,0
2023-0660-AFG,Ground movement,,AFG,6.3,2023/10/11,1,140,,,140,0
2023-0722-NPL,Ground movement,GLIDE:EQ-2023-000214,NPL,5.7,2023/11/3,154,366,,300000,300366,0
2023-0739-PHL,Ground movement,,PHL,6.2,2023/9/12,,5,,175,180,0
2023-0749-ISL,Ground movement,GLIDE:VO-2023-000243,ISL,6.1,2023/10/25,,,,3665,3665,1
2023-0762-PHL,Ground movement,,PHL,6.7,2023/11/17,11,37,,99541,99578,0
2023-0791-PHL,Ground movement,,PHL,7.6,2023/12/2,3,79,,720997,721076,0
2023-0838-CHN,Ground movement,,CHN,5.9,2023/12/19,151,980,,600000,600980,0
2024-0001-JPN,Ground movement,,JPN,7.5,2024/1/2,252,1182,,166947,168129,1
2024-0035-CHN,Ground movement,,CHN,5.6,2024/1/23,6,5,141,12426,12572,0
2024-0035-KAZ,Ground movement,,KAZ,5.8,2024/1/23,,67,,,67,0
2024-0153-PNG,Ground movement,,PNG,6.9,2024/3/20,5,2,5000,,5002,0
2024-0154-IDN,Ground movement,,IDN,6.4,2024/3/22,,2,,144520,144522,0
2024-0189-TWN,Ground movement,,TWN,7.4,2024/4/3,20,1145,333,891,2369,
2024-0262-IDN,Ground movement,,IDN,6.1,2024/4/27,1,12,70,2730,2812,0
2024-0392-IRN,Ground movement,,IRN,4.9,2024/6/18,4,120,,,120,0
2024-0473-PER,Ground movement,,PER,7.2,2024/6/28,,30,33,9000,9063,0
2024-0585-PHL,Ground movement,,PHL,6.8,2024/8/2,,,,24000,24000,0
2024-0688-IDN,Ground movement,,IDN,5.1,2024/9/18,1,75,,2800,2875,0
2024-0751-TUR,Ground movement,,TUR,6,2024/10/16,,43,69,1605,1717,0
2024-0848-CUB,Ground movement,,CUB,6.8,2024/11/10,,7,,6000,6007,0
