DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development,Depth
2000-0480-RUS,Ground movement,USGS:usp0009xws,RUS,6.8,2000/8/4,,8.0,19100.0,,19108.0,0.0,10.0
2000-0527-CHN,Ground movement,USGS:usp0009yvr,CHN,4.9,2000/8/21,1.0,211.0,177400.0,,177611.0,0.0,33.0
2000-0598-USA,Ground movement,USGS:usp0009zmm,USA,4.9,2000/9/3,,70.0,104.0,25000.0,25174.0,1.0,9.367
2000-0653-TZA,Ground movement,USGS:usp000a14k,TZA,6.5,2000/10/2,1.0,6.0,35.0,750.0,791.0,0.0,34.0
2000-0656-JPN,Ground movement,USGS:usp000a1b0,JPN,6.7,2000/10/6,,130.0,312.0,6690.0,7132.0,1.0,10.0
2000-0743-TJK,Ground movement,USGS:usp000a2se,TJK,4.8,2000/10/30,,,,6000.0,6000.0,0.0,33.0
2000-0749-PNG,Ground movement,USGS:usp000a3qq,PNG,8.0,2000/11/16,2.0,,5000.0,,5000.0,0.0,33.0
2000-0761-IDN,Ground movement,USGS:usp000a2ck,IDN,6.8,2000/10/25,,,,5500.0,5500.0,0.0,38.0
2000-0762-IDN,Ground movement,USGS:usp0009u6r,IDN,6.7,2000/6/7,1.0,,,3000.0,3000.0,0.0,33.0
2000-0769-AZE,Ground movement,USGS:usp000a4xu,AZE,6.8,2000/11/25,31.0,600.0,,2694.0,3294.0,0.0,50.4
2000-0810-TKM,Ground movement,USGS:usp000a5m7,TKM,7.0,2000/12/6,11.0,,,,,0.0,30.0
2001-0005-TZA,Ground movement,USGS:usp0009s0v,TZA,4.3,2001/1/5,,,700.0,,700.0,0.0,10.0
2001-0013-SLV,Ground movement,USGS:usp000a7m5,SLV,7.7,2001/1/13,844.0,4723.0,,1329806.0,1334529.0,0.0,60.0
2001-0023-GTM,Ground movement,USGS:usp000a7m5,GTM,7.7,2001/1/13,6.0,2.0,,150.0,152.0,0.0,60.0
2001-0033-IND,Ground movement,USGS:usp000a8ds,IND,7.7,2001/1/26,20005.0,166812.0,1790000.0,4365000.0,6321812.0,0.0,16.0
2001-0033-PAK,Ground movement,USGS:usp000a8ds,PAK,7.7,2001/1/26,12.0,100.0,,914192.0,914292.0,0.0,16.0
2001-0042-SLV,Ground movement,USGS:usp000a9jv,SLV,6.6,2001/2/13,315.0,3399.0,,252622.0,256021.0,0.0,10.0
2001-0064-CHN,Ground movement,USGS:usp000aa5p,CHN,5.6,2001/2/23,3.0,109.0,300000.0,,300109.0,0.0,33.0
2001-0086-AFG,Ground movement,USGS:usp000aaae,AFG,6.2,2001/2/25,,,,,,0.0,202.5
2001-0099-USA,Ground movement,USGS:uw10530748,USA,6.8,2001/2/28,1.0,400.0,,,400.0,1.0,51.798
2001-0123-JPN,Ground movement,USGS:usp000abyg,JPN,6.8,2001/3/24,2.0,161.0,,11100.0,11261.0,1.0,50.0
2001-0151-CHN,Ground movement,USGS:usp000ad3a,CHN,5.6,2001/4/12,2.0,190.0,,150000.0,150190.0,0.0,10.0
2001-0214-CHN,Ground movement,USGS:usp000afdp,CHN,5.5,2001/5/23,2.0,605.0,10000.0,,10605.0,0.0,33.0
2001-0233-AFG,Ground movement,USGS:usp000afvt,AFG,5.0,2001/6/1,4.0,20.0,250.0,,270.0,0.0,62.1
2001-0294-PER,Tsunami,USGS:usp000ah4q,PER,8.4,2001/6/23,145.0,2713.0,124865.0,222400.0,349978.0,0.0,33.0
2001-0345-PNG,Ground movement,USGS:usp000ag32,PNG,6.4,2001/6/5,,1.0,200.0,,201.0,0.0,10.0
2001-0358-TUR,Ground movement,USGS:usp000ahe3,TUR,5.5,2001/6/25,,130.0,,350.0,480.0,0.0,5.0
2001-0389-CHN,Ground movement,USGS:usp000ajhn,CHN,4.6,2001/7/14,,,,25000.0,25000.0,0.0,33.0
2001-0546-IDN,Ground movement,USGS:usp000ahm8,IDN,5.0,2001/6/28,,12.0,,12500.0,12512.0,0.0,36.9
2001-0598-CHN,Ground movement,USGS:usp000arq9,CHN,5.6,2001/10/27,1.0,220.0,17000.0,,17220.0,0.0,10.0
2001-0669-IDN,Ground movement,USGS:usp000a9kc,IDN,7.4,2001/2/13,,,,,,0.0,36.0
2001-0748-TUR,Ground movement,USGS:usp000ajbh,TUR,5.4,2001/7/10,,46.0,,85.0,131.0,0.0,33.0
2001-0749-GRC,Ground movement,USGS:usp000ak5s,GRC,6.5,2001/7/26,,,,300.0,300.0,0.0,10.0
2001-0750-IRN,Ground movement,USGS:usp000aqec,IRN,4.9,2001/10/8,,,,1000.0,1000.0,0.0,33.0
2001-0751-PER,Ground movement,USGS:usp000atz4,PER,5.8,2001/12/4,2.0,5.0,,150.0,155.0,0.0,33.0
2001-0754-PER,Ground movement,USGS:usp000am2s,PER,5.8,2001/8/9,4.0,15.0,,3950.0,3965.0,0.0,33.0
2002-0002-VUT,Ground movement,USGS:usp000avpw,VUT,7.2,2002/1/3,,,,500.0,500.0,0.0,21.0
2002-0015-TJK,Ground movement,USGS:usp000aw3f,TJK,5.3,2002/1/9,3.0,50.0,,1000.0,1050.0,0.0,33.0
2002-0042-RWA,Ground movement,USGS:usp000awns,RWA,4.7,2002/1/17,45.0,108.0,,1535.0,1643.0,0.0,15.4
2002-0065-TUR,Ground movement,USGS:usp000axp7,TUR,6.5,2002/2/3,42.0,327.0,30000.0,222000.0,252327.0,0.0,5.0
2002-0070-PNG,Ground movement,USGS:usp000aw5z,PNG,6.7,2002/1/10,1.0,,1000.0,,1000.0,0.0,11.0
2002-0107-IRN,Ground movement,USGS:usp000ayn7,IRN,5.4,2002/2/17,1.0,30.0,,750.0,780.0,0.0,33.0
2002-0122-AFG,Ground movement,USGS:usp000azhb,AFG,6.3,2002/3/3,150.0,13.0,,3500.0,3513.0,0.0,209.0
2002-0122-PAK,Ground movement,USGS:usp000azhb,PAK,6.3,2002/3/3,3.0,,,,,0.0,209.0
2002-0122-TJK,Ground movement,USGS:usp000azhb,TJK,6.3,2002/3/3,,,500.0,,500.0,0.0,209.0
2002-0129-PHL,Ground movement,USGS:usp000azqw,PHL,7.5,2002/3/5,15.0,100.0,,73351.0,73451.0,0.0,31.0
2002-0172-TWN,Ground movement,USGS:usp000b1e2,TWN,7.1,2002/3/31,4.0,200.0,,300.0,500.0,,32.8
2002-0175-AFG,Ground movement,USGS:usp000b10y,AFG,6.1,2002/3/25,1000.0,1228.0,10000.0,80000.0,91228.0,0.0,8.0
2002-0208-AFG,Ground movement,USGS:usp000b283,AFG,5.9,2002/4/12,50.0,150.0,,6000.0,6150.0,0.0,10.0
2002-0234-SCG,Ground movement,USGS:usp000b324,SCG,5.7,2002/4/24,1.0,100.0,,,100.0,,10.0
2002-0246-IRN,Ground movement,USGS:usp000b33c,IRN,5.4,2002/4/24,2.0,56.0,,20000.0,20056.0,0.0,33.0
2002-0247-GEO,Ground movement,USGS:usp000b35x,GEO,4.8,2002/4/25,6.0,70.0,1086.0,18000.0,19156.0,0.0,10.0
2002-0368-ARG,Ground movement,USGS:usp000b53c,ARG,6.0,2002/5/28,,27.0,200.0,500.0,727.0,0.0,22.2
2002-0378-IRN,Ground movement,USGS:usp000b6pk,IRN,6.5,2002/6/22,227.0,1300.0,,110000.0,111300.0,0.0,10.0
2002-0512-IDN,Ground movement,USGS:usp000b9xr,IDN,6.2,2002/8/15,,48.0,,2500.0,2548.0,0.0,10.0
2002-0545-EGY,Ground movement,USGS:usp000baje,EGY,4.4,2002/8/24,,,,250.0,250.0,0.0,10.0
2002-0577-PNG,Ground movement,USGS:usp000bbpf,PNG,7.6,2002/9/8,4.0,70.0,,4400.0,4470.0,0.0,13.0
2002-0584-IND,Ground movement,USGS:usp000bc65,IND,6.5,2002/9/13,2.0,,200.0,,200.0,0.0,21.0
2002-0643-IDN,Tsunami,USGS:usp000be54,IDN,7.6,2002/10/10,8.0,632.0,,8450.0,9082.0,0.0,10.0
2002-0654-TZA,Ground movement,USGS:usp000b4j1,TZA,5.5,2002/5/18,2.0,,2000.0,,2000.0,0.0,10.0
2002-0655-CHN,Ground movement,USGS:usp000b9h8,CHN,5.3,2002/8/8,,,48.0,330.0,378.0,0.0,33.0
2002-0680-ITA,Ground movement,USGS:usp000bfkj,ITA,4.3,2002/10/29,,9.0,1000.0,,1009.0,1.0,10.0
2002-0690-ITA,Ground movement,USGS:usp000bfqg,ITA,5.9,2002/10/31,30.0,33.0,8500.0,,8533.0,1.0,10.0
